Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
11/24/2015,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Equifax,CA,94526,Web,11/24/2015,Closed with explanation,Yes,Yes,1669395
11/24/2015,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Equifax,FL,349XX,Web,11/24/2015,Closed with explanation,Yes,,1669463
11/24/2015,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,,Company chooses not to provide a public response,Access Receivables Management,FL,33810,Web,11/24/2015,Closed with explanation,Yes,,1671226
11/24/2015,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Called after sent written cease of comm,,Company believes it acted appropriately as authorized by contract or law,"ATG Credit, LLC",IL,600XX,Web,11/24/2015,Closed with explanation,Yes,,1670726
11/24/2015,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,,Company believes the complaint is the result of a misunderstanding,"California Business Bureau, Inc.",CA,92108,Web,11/24/2015,Closed with explanation,Yes,,1669629
11/24/2015,Credit reporting,,Incorrect information on credit report,Account status,,Company chooses not to provide a public response,TransUnion,SC,294XX,Web,11/24/2015,Closed with non-monetary relief,Yes,,1670889
11/24/2015,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,,Company disputes the facts presented in the complaint,"Southern Oregon Credit Service, Inc.",OR,97527,Web,11/24/2015,Closed with explanation,Yes,Yes,1669924
11/24/2015,Bank account or service,Checking account,"Account opening, closing, or management",,,,Navy FCU,CA,940XX,Web,11/24/2015,In progress,Yes,,1670937
11/24/2015,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,TN,38025,Postal mail,11/24/2015,Closed with explanation,Yes,,1669839
11/24/2015,Credit reporting,,Incorrect information on credit report,Account status,,Company chooses not to provide a public response,TransUnion,,306XX,Web,11/24/2015,Closed with explanation,Yes,,1669439
